"","Rainfall","Treatment"
"1",1202.59997558594,"Unseeded"
"2",830.099975585938,"Unseeded"
"3",372.399993896484,"Unseeded"
"4",345.5,"Unseeded"
"5",321.200012207031,"Unseeded"
"6",244.300003051758,"Unseeded"
"7",163,"Unseeded"
"8",147.800003051758,"Unseeded"
"9",95,"Unseeded"
"10",87,"Unseeded"
"11",81.1999969482422,"Unseeded"
"12",68.5,"Unseeded"
"13",47.2999992370605,"Unseeded"
"14",41.0999984741211,"Unseeded"
"15",36.5999984741211,"Unseeded"
"16",29,"Unseeded"
"17",28.6000003814697,"Unseeded"
"18",26.2999992370605,"Unseeded"
"19",26.1000003814697,"Unseeded"
"20",24.3999996185303,"Unseeded"
"21",21.7000007629395,"Unseeded"
"22",17.2999992370605,"Unseeded"
"23",11.5,"Unseeded"
"24",4.90000009536743,"Unseeded"
"25",4.90000009536743,"Unseeded"
"26",1,"Unseeded"
"27",2745.60009765625,"Seeded"
"28",1697.80004882812,"Seeded"
"29",1656,"Seeded"
"30",978,"Seeded"
"31",703.400024414062,"Seeded"
"32",489.100006103516,"Seeded"
"33",430,"Seeded"
"34",334.100006103516,"Seeded"
"35",302.799987792969,"Seeded"
"36",274.700012207031,"Seeded"
"37",274.700012207031,"Seeded"
"38",255,"Seeded"
"39",242.5,"Seeded"
"40",200.699996948242,"Seeded"
"41",198.600006103516,"Seeded"
"42",129.600006103516,"Seeded"
"43",119,"Seeded"
"44",118.300003051758,"Seeded"
"45",115.300003051758,"Seeded"
"46",92.4000015258789,"Seeded"
"47",40.5999984741211,"Seeded"
"48",32.7000007629395,"Seeded"
"49",31.3999996185303,"Seeded"
"50",17.5,"Seeded"
"51",7.69999980926514,"Seeded"
"52",4.09999990463257,"Seeded"
"110",833.424942373041,"Seeded"
"210",686.945294917006,"Seeded"
"310",786.604359858304,"Seeded"
"410",672.086528845998,"Seeded"
"53",877.541709996856,"Seeded"
"61",755.056567538205,"Seeded"
"71",763.639799178521,"Seeded"
"81",714.373920201957,"Seeded"
"91",851.931131877296,"Seeded"
"101",845.432194012857,"Seeded"
"111",98.1971777851448,"Unseeded"
"121",102.443286526397,"Unseeded"
"131",102.677229928245,"Unseeded"
"141",92.2070709266547,"Unseeded"
"151",100.09719464722,"Unseeded"
"161",99.6567135902188,"Unseeded"
"171",99.7030756873374,"Unseeded"
"181",96.9699762795477,"Unseeded"
"191",93.8492438775261,"Unseeded"
"201",94.446756517712,"Unseeded"
