"","contributions","win"
"1",88.7904870689557,0
"2",95.3964502103344,1
"3",131.174166282982,1
"4",101.410167828492,1
"5",102.585754703219,1
"6",134.301299737666,1
"7",109.218324119784,1
"8",74.6987753078693,0
"9",86.2629429621295,1
"10",91.0867605980008,1
"11",124.481635948789,1
"12",107.196276541147,1
"13",108.015429011881,1
"14",102.213654318902,1
"15",88.8831773049185,1
"16",135.738262736062,1
"17",109.957009564585,0
"18",60.6676568674072,1
"19",114.027118031274,1
"20",90.5441718454413,1
"21",78.6435258802631,1
"22",95.6405017068341,1
"23",79.4799110338552,1
"24",85.4221754141772,1
"25",87.4992146430149,1
"26",66.2661337851517,0
"27",116.75574088989,1
"28",103.06746235673,1
"29",77.2372612597611,1
"30",125.076298421399,1
"31",108.529284429536,1
"32",94.0985703401546,1
"33",117.9025132209,1
"34",117.562669750661,0
"35",116.43162163275,1
"36",113.772805082002,1
"37",111.078353070752,1
"38",98.7617657884656,1
"39",93.8807467252017,1
"40",92.3905799797523,1
"41",86.1058604215897,1
"42",95.841654439608,1
"43",74.6920729686347,1
"44",143.37911930677,1
"45",124.1592399661,0
"46",77.537828335933,0
"47",91.9423032940185,0
"48",90.6668929275356,1
"49",115.599302366726,1
"50",98.3326186705634,0
"51",105.066370279895,1
"52",99.4290648930259,1
"53",99.1425908541737,1
"54",127.372045680289,1
"55",95.4845802868146,1
"56",130.329412088591,1
"57",69.0249439153956,1
"58",111.692274992721,1
"59",102.477084876892,1
"60",104.318831374879,1
"61",107.592789655198,0
"62",89.953530937814,1
"63",93.3358523266116,1
"64",79.6284923378582,1
"65",78.5641754704884,1
"66",106.070572828085,1
"67",108.964195572589,1
"68",101.06008453461,1
"69",118.445349357595,1
"70",141.001693712543,1
"71",90.1793766788693,1
"72",53.8166224871837,0
"73",120.114770489245,1
"74",85.8159847483522,1
"75",86.2398276706528,1
"76",120.511427393934,1
"77",94.3045398589798,1
"78",75.5856457549093,1
"79",103.626069594983,1
"80",97.2221727512191,1
"81",100.115283717998,1
"82",107.705608022527,1
"83",92.5867993641518,1
"84",112.887530970377,1
"85",95.590268763625,0
"86",106.635639278314,1
"87",121.936780262987,1
"88",108.703629816676,1
"89",93.4813682893755,1
"90",122.976152369022,1
"91",119.870077119242,0
"92",110.967939190161,1
"93",104.774634702229,1
"94",87.4418784792126,0
"95",127.2130489706,1
"96",87.9948082570575,0
"97",143.746659860332,1
"98",130.652212523704,1
"99",95.2859928179905,1
"100",79.4715819938644,0
